MeanAmplitude,1.1073503488935332
StdAmplitude,0.15410627782143554
MeanSpeed,3.7220216511226694
StdSpeed,0.3646617820737931
MeanRMSVelocity,8.70562657929772
StdRMSVelocity,0.7902314183159578
MeanOpeningSpeed,7.4302714448387
stdOpeningSpeed,0.7500981644246013
meanClosingSpeed,7.522422810181182
stdClosingSpeed,0.9842611979552144
meanCycleDuration,0.2969696969696969
stdCycleDuration,0.026417569354791955
rangeCycleDuration,0.10000000000000075
rate,3.557951482479784
amplitudeDecay,0.9124982402581782
velocityDecay,0.9958813678918917
rateDecay,1.0898876404494382
cvAmplitude,0.13916668557102896
cvCycleDuration,0.08895712129674845
cvSpeed,0.09797411628806633
cvRMSVelocity,0.09077249191863516
cvOpeningSpeed,0.10095165028535304
cvClosingSpeed,0.13084364210731034
